Time,Data
1,2187
2,2143
3,2143
4,2126
5,2126
6,2126
7,2127
8,2127
9,2116
10,2116
11,2116
12,2110
13,2110
14,2149
15,2149
16,2149
17,2191
18,2191
19,2154
20,2154
21,2154
22,2186
23,2186
24,2190
25,2190
26,2190
27,2135
28,2135
29,2165
30,2165
31,2165
32,2161
33,2161
34,2099
35,2099
36,2099
37,2120
38,2120
39,2119
40,2119
41,2119
42,2095
43,2095
44,2163
45,2163
46,2163
47,2152
48,2152
49,2152
50,2152
51,2152
52,2166
53,2166
54,2069
55,2069
56,2069
57,2071
58,2071
59,2103
60,2103
61,2103
62,2138
63,2138
64,2088
65,2088
66,2088
67,2092
68,2092
69,2075
70,2075
71,2075
72,2105
73,2105
74,2131
75,2131
76,2131
77,2099
78,2099
79,2118
80,2118
81,2118
82,2128
83,2128
84,2119
85,2119
86,2119
87,2037
88,2037
89,2045
90,2045
91,2045
92,2041
93,2041
94,2094
95,2094
96,2094
97,2028
98,2028
99,2108
100,2108
101,2108
102,2028
103,2028
104,2091
105,2091
106,2091
107,2023
108,2023
109,2012
110,2012
111,2012
112,2098
113,2098
114,2055
115,2055
116,2055
117,2038
118,2038
119,2047
120,2047
121,2047
122,2066
123,2066
124,2014
125,2014
126,2014
127,2037
128,2037
129,2047
130,2047
131,2047
132,2009
133,2009
134,1999
135,1999
136,1999
137,2045
138,2045
139,2047
140,2047
141,2047
142,2035
143,2035
144,2082
145,2082
146,2082
147,2076
148,2076
149,1988
150,1988
151,1988
152,1988
153,1988
154,1979
155,1979
156,1979
157,2009
158,2009
159,2025
160,2025
161,2025
162,1993
163,1993
164,1974
165,1974
166,1974
167,1966
168,1966
169,2032
170,2032
171,2032
172,1980
173,1980
174,1972
175,1972
176,1972
177,1973
178,1973
179,2018
180,2018
181,2018
182,2047
183,2047
184,1958
185,1958
186,1958
187,1992
188,1992
189,1999
190,1999
191,1999
192,1964
193,1964
194,2004
195,2004
196,2004
197,2010
198,2010
199,1966
200,1966
201,1966
202,2024
203,2024
204,1969
205,1969
206,1969
207,2033
208,2033
209,2031
210,2031
211,1988
212,1988
213,1988
214,1984
215,1984
216,1942
217,1942
218,1942
219,2019
220,2019
221,1971
222,1971
223,1971
224,2014
225,2014
226,1943
227,1943
228,1943
229,1991
230,1991
231,1941
232,1941
233,1941
234,1960
235,1960
236,1948
237,1948
238,1948
239,2028
240,2028
241,1961
242,1961
243,1961
244,2019
245,2019
246,2021
247,2021
248,2021
249,1968
250,1968
251,1980
252,1980
253,1980
254,1949
255,1949
256,2019
257,2019
258,2019
259,2015
260,2015
261,1938
262,1938
263,1938
264,1978
265,1978
266,1950
267,1950
268,1950
269,2008
270,2008
271,2016
272,2016
273,2016
274,2013
275,2013
276,1974
277,1974
278,1974
279,2006
280,2006
281,1926
282,1926
283,1926
284,2010
285,2010
286,1924
287,1924
288,1924
289,1971
290,1971
291,2000
292,2000
293,2000
294,2003
295,2003
296,1942
297,1942
298,1942
299,2008
300,2008
301,1922
302,1922
303,1922
304,1924
305,1924
306,1981
307,1981
308,1981
309,1990
310,1990
311,1932
312,1932
313,1932
314,2012
315,2012
316,1971
317,1971
318,1971
319,2006
320,2006
321,2037
322,2037
323,2037
324,1986
325,1986
326,2058
327,2058
328,2058
329,2008
330,2008
331,2019
332,2019
333,2019
334,2106
335,2106
336,2091
337,2091
338,2091
339,2063
340,2063
341,2173
342,2173
343,2173
344,2116
345,2116
346,2178
347,2178
348,2178
349,2238
350,2238
351,2252
352,2252
353,2252
354,2257
355,2257
356,2228
357,2228
358,2228
359,2295
360,2295
361,2286
362,2286
363,2286
364,2350
365,2350
366,2279
367,2279
368,2279
369,2286
370,2286
371,2320
372,2320
373,2320
374,2381
375,2381
376,2429
377,2429
378,2429
379,2435
380,2435
381,2378
382,2378
383,2378
384,2408
385,2408
386,2444
387,2444
388,2444
389,2471
390,2471
391,2501
392,2501
393,2501
394,2438
395,2438
396,2458
397,2458
398,2458
399,2524
400,2524
401,2483
402,2483
403,2483
404,2534
405,2534
406,2497
407,2497
408,2497
409,2525
410,2525
411,2589
412,2589
413,2538
414,2538
415,2538
416,2622
417,2622
418,2556
419,2556
420,2556
421,2569
422,2569
423,2599
424,2599
425,2599
426,2587
427,2587
428,2622
429,2622
430,2622
431,2638
432,2638
433,2576
434,2576
435,2576
436,2645
437,2645
438,2585
439,2585
440,2585
441,2673
442,2673
443,2689
444,2689
445,2689
446,2626
447,2626
448,2622
449,2622
450,2622
451,2703
452,2703
453,2627
454,2627
455,2627
456,2714
457,2714
458,2648
459,2648
460,2648
461,2675
462,2675
463,2698
464,2698
465,2698
466,2704
467,2704
468,2658
469,2658
470,2658
471,2659
472,2659
473,2661
474,2661
475,2661
476,2663
477,2663
478,2686
479,2686
480,2686
481,2656
482,2656
483,2691
484,2691
485,2691
486,2698
487,2698
488,2708
489,2708
490,2708
491,2724
492,2724
493,2674
494,2674
495,2674
